basin_id;output;benchmark_kge;benchmark_type;3km_kge;1km_kge;200m_kge;beat_benchmark;ksat_3km;ksat_1km;ksat_200m;3km_nse;1km_nse;200m_nse;best_performance;mean_marrmot
183;TRUE;0.061436905;mean;0.278;0.403;0.545;TRUE;100000;10000;500;0.335;0.599;0.285;200m;0.562657871
184;TRUE;-0.064352102;mean;0.543;0.442;0.422;TRUE;1000;750;225;0.367;0.315;0.292;3km;0.653539251
185;TRUE;-0.100108408;mean;0.617;0.74;0.702;TRUE;500;175;50;0.574;0.437;0.379;1km;0.678718508
186;FALSE;;;;;;FALSE;;;;;;; ;0.678501866
;;;;;;;;;;;;;;;0.683500308
187;TRUE;-0.177522406;mean;0.829;0.848;0.827;TRUE;250;225;70;0.732;0.771;0.776;1km;0.736819143
188;TRUE;-0.144227281;mean;0.847;0.821;0.797;TRUE;250;250;80;0.688;0.69;0.682;3km;0.746217742
189;TRUE;0.2690465;mean;0.573;0.591;0.526;TRUE;100;50;10;0.601;0.588;0.548;1km;0.618941627
190;TRUE;0.257016839;median;0.553;0.648;0.673;TRUE;225;125;40;0.538;0.638;0.66;200m;0.611699706
191;TRUE;0.272622276;mean;0.688;0.698;0.694;TRUE;250;125;40;0.627;0.633;0.621;1km;0.626353064
192;TRUE;0.15938182;mean;0.551;0.649;0.667;TRUE;175;125;30;0.474;0.541;0.558;200m;0.496335704
193;FALSE;;;;;;FALSE;;;;;;; ;0.607791127
194;TRUE;0.208005339;mean;0.486;0.618;0.66;TRUE;100;70;20;0.535;0.611;0.633;200m;0.621374491
195;TRUE;0.152082669;median;0.56;0.629;0.631;TRUE;500;225;60;0.536;0.614;0.614;200m;0.634688246
196;TRUE;0.036160347;mean;-2.348;-3.824;-4.126;FALSE;1;1;1;-31.523;-70.292;-86.013;3km;0.40323323
197;TRUE;-0.255989807;mean;0.742;0.781;0.687;TRUE;20;10;1;0.656;0.69;0.601;1km;0.736606226
198;TRUE;-0.213501478;median;0.559;0.647;0.649;TRUE;150;70;20;0.521;0.64;0.646;200m;
199;TRUE;-0.250962322;mean;0.627;0.629;0.614;TRUE;50;30;10;0.64;0.634;0.596;1km;0.680078582
200;TRUE;-0.260627574;mean;0.68;0.734;0.754;TRUE;250;150;40;0.662;0.681;0.679;200m;0.712060132
201;TRUE;0.184979155;mean;0.692;0.776;0.777;TRUE;125;70;20;0.679;0.685;0.65;200m;0.564714821
202;TRUE;0.210775341;mean;0.558;0.686;0.698;TRUE;150;90;30;0.604;0.688;0.681;200m;0.608212817
203;TRUE;0.047224015;mean;0.427;0.555;0.611;TRUE;750;500;125;0.41;0.525;0.59;200m;0.704281405
204;TRUE;0.090454626;mean;0.651;0.659;0.655;TRUE;200;150;40;0.652;0.684;0.709;1km;0.693601291
205;TRUE;0.051064972;mean;0.581;0.679;0.714;TRUE;40;80;30;0.493;0.614;0.684;200m;0.690675377
206;TRUE;-0.085700045;median;0.673;0.719;0.729;TRUE;125;70;20;0.693;0.706;0.703;200m;0.609638475
207;TRUE;-0.001850077;median;0.738;0.773;0.762;TRUE;125;80;20;0.732;0.751;0.756;1km;0.548124684
208;TRUE;-0.150600564;mean;0.311;0.45;0.494;TRUE;200;150;40;0.221;0.389;0.456;200m;
209;TRUE;-0.074686665;mean;0.694;0.71;0.697;TRUE;225;150;50;0.559;0.592;0.594;1km;0.577277694
210;TRUE;0.087892441;mean;0.536;0.54;0.534;TRUE;125;90;30;0.521;0.521;0.502;1km;0.604313069
211;TRUE;-0.236753654;median;0.48;0.598;0.611;TRUE;50;20;10;0.463;0.591;0.537;200m;0.648333833
212;TRUE;-0.252325764;mean;-0.003;-0.008;-0.006;TRUE;80;50;10;-0.307;-0.307;-0.296;3km;0.687992119
213;TRUE;-0.222891555;mean;0.76;0.79;0.706;TRUE;40;20;10;0.693;0.703;0.67;1km;0.65558244
214;TRUE;0.04765872;mean;-1.157;-1.313;-1.324;FALSE;1;1;1;-13.167;-17.93;-18.958;3km;0.651042918
215;TRUE;-0.385663946;mean;0.717;0.74;0.657;TRUE;70;30;10;0.614;0.621;0.594;1km;0.702412109
216;FALSE;;;;;;FALSE;;;;;;; ;0.494751925
217;FALSE;;;;;;FALSE;;;;;;; ;0.663708984
